product_id,price,demand,cost_per_unit,production_capacity,revenue,profit
1,193.52465823520762,18.39719234810097,83.13145805383171,144,3560.310361653617,2030.9249376591874
2,475.8500101408589,10.0,43.6534092146282,762,4758.500101408589,4321.966009262307
3,368.6770314875885,15.506100244554503,91.94602135412396,216,5716.743008111324,4291.018783906329
4,303.3426572565479,10.613643193795273,82.23736184633572,221,3219.570729578732,2346.732713742692
5,86.44913381679389,63.40065096908623,193.1248700465805,581,5480.931359698378,-6763.311119575007
6,86.4373149647393,57.48978629348565,286.57632839416,269,4969.262765105572,-11505.94911104645
7,38.460969962417735,130.42989507515315,207.29440103749266,777,5016.460276686762,-22020.926700300126
8,434.4263114297182,10.117566953844303,278.361575379048,499,4395.33729240179,1578.9954161266942
9,304.54635575417234,20.282101056861116,236.3190162894908,941,6176.8399639049,1383.7937938634395
10,356.95556312006227,17.923145216875483,219.7238985109961,760,6397.766393772438,2459.6230531418446
11,20.086402204943198,250.59988996567822,127.14827236293571,599,5033.6501823651215,-26829.692881112656
12,485.2558275593772,13.127788813910104,100.81437834469375,173,6370.336024918683,5046.866156603911
13,417.8968939922066,10.904225405769802,254.65182487951117,248,4556.8419284621095,1780.0610299853015
14,114.04616423235531,46.552910407835505,272.09100371405657,636,5309.180865866131,-7357.4472528123815
15,99.09423393147931,48.767633712435234,138.30533562702496,991,4832.591303384754,-1912.2326449494185
16,99.86820982818257,50.07714015456956,7.6736139650601025,160,5001.11434055186,4616.8416985314825
17,159.0786990501735,30.057764972887,238.79666237740878,965,4781.550148242737,-2396.1438058072636
18,267.13065149979656,16.431340035019275,89.09530793932603,153,4389.314568569389,2925.3592682935705
19,221.65305913463672,19.11221675119212,7.916920179991617,322,4236.281309745981,4084.9714152640945
20,152.70227869704053,35.081904269057645,242.47162489795602,830,5357.086722916536,-3149.279609716412
21,309.8079184139659,22.69206185735748,157.63718570098496,572,7030.180448548874,3453.067679602375
22,78.3519917195005,69.67009695780482,207.1371701698484,415,5458.79085993472,-8972.475869363934
23,153.15087778225688,26.364717182925563,274.83349723762086,269,4037.779579046001,-3208.127848018227
24,189.51730321390895,32.82883052090755,164.64627989074108,800,6221.631427988865,816.4866095578163
25,233.47429226634762,19.824841527952305,153.4422514107949,131,4628.590845031162,1586.6225271199364
26,394.73622108257666,15.67035167035396,90.74532579773773,152,6185.655401390565,4763.644233699171
27,107.84015325759627,41.833842611128205,95.03218115978602,238,4511.367998538227,535.8066889075153
28,261.9748748226697,19.795699317855416,239.97990947874553,473,5185.97585082238,435.40572045497356
29,300.2831387424008,18.219567482861713,137.46362744785142,146,5471.028910282698,2966.5010735576075
30,32.760702232798884,145.1988571121137,53.240231539395516,189,4756.81652239267,-2973.604249511869
31,307.6969774317048,19.291089214851855,32.885985380146195,927,5935.809842775275,5301.403364888561
32,93.55682060677285,60.17313290332122,144.51143447422493,135,5629.607000383524,-3066.0987522836085
33,41.87528056278696,118.52894535076045,142.16173196723048,324,4963.432841374337,-11886.847317938978
34,474.9539132541333,17.32817785564377,197.77019207059183,653,8230.085882101625,4803.08881935758
35,483.1596962065341,10.0,143.9649059348165,839,4831.59696206534,3391.9479027171756
36,406.11470057706595,16.559715340637688,47.32533271959335,368,6725.14383720452,5941.449798967088
37,159.26074689495164,20.302205747234854,154.80185101556148,285,3233.3444509196024,90.52542154887624
38,57.859335863128095,98.51036646948637,272.5028741463774,470,5699.744379557844,-21144.613616590115
39,345.2741829909569,21.958536121756122,52.03521642796266,968,7581.7156191167605,6439.098439579945
40,225.67472193240465,20.732654735539384,208.47761908843594,334,4678.836092363403,356.54159571556556
41,69.79873507394163,61.774090860925014,180.18848316483033,221,4311.7534024353035,-6819.226328681182
42,252.6366859545224,21.231408423056543,225.8327893799818,523,5363.832662147937,569.0844755034377
43,26.850375346457014,178.9975083561669,49.42708066113986,932,4806.150285443657,-4041.1739982196614
44,455.5669970186032,13.199601793905368,282.7735743872684,488,6013.302951090836,2280.8043713396155
45,136.8021909840083,38.60695082869912,188.1850961913118,216,5281.515460577914,-1983.7372947740741
46,334.63591933345117,10.23459595195212,254.88598561888537,565,3424.8634253879154,816.208348763545
47,162.73842728381138,36.32898603591342,77.7489952856695,528,5912.122052300095,3087.5798882607096
48,264.8333303771273,22.907672340258337,223.12680237239866,968,6066.7151570586175,955.3994779821323
49,277.888036878207,22.87197473161086,235.4040577785061,541,6355.848157695297,971.6924964666432
50,100.57868320750825,49.756611652306006,122.24340535418732,138,5004.4544808563,-1077.9631664074232
51,485.0964676046337,10.0,118.26626860060952,261,4850.9646760463365,3668.3019900402414
52,389.8150834469461,17.715955847311633,199.04989818259602,720,6905.946806962197,3379.5875993474497
53,470.35448136645266,10.0,32.555266119263706,625,4703.544813664526,4377.992152471889
54,448.4654017095479,10.0,222.00912431416515,265,4484.6540170954795,2264.562773953828
55,302.9709896174317,23.263427077472606,17.651594152626224,973,7048.143523554832,6637.506950184071
56,461.71837516132723,21.32614960883668,61.22413883064366,544,9846.675145839446,8541.000001464952
57,53.36132600544055,93.49457929893777,200.92240838620333,542,4988.994725712132,-13796.161318085313
58,106.03160258538115,57.95135819101644,34.00548179212933,430,6144.675380992928,4174.011525199154
59,32.16137156616365,155.9225801133903,291.6934169856531,434,5014.6840345816645,-40466.90614391238
60,169.41186207399952,27.611592405184783,261.1768817912607,211,4677.731284190657,-2533.7783214867613
